"filename", "language", "JavaScript JSX", "CSS", "comment", "blank", "total"
"/home/vivek/Desktop/Pixeon/src/AddTask.jsx", "JavaScript JSX", 3, 0, 0, 0, 3
"/home/vivek/Desktop/Pixeon/src/Admin_Dashboard.css", "CSS", 0, 1, 0, 0, 1
"/home/vivek/Desktop/Pixeon/src/Admin_Dashboard.jsx", "JavaScript JSX", 380, 0, 15, 24, 419
"/home/vivek/Desktop/Pixeon/src/Home.jsx", "JavaScript JSX", -18, 0, 0, -1, -19
"/home/vivek/Desktop/Pixeon/src/ImageVerification.css", "CSS", 0, 28, 0, 6, 34
"/home/vivek/Desktop/Pixeon/src/ImageVerification.jsx", "JavaScript JSX", 151, 0, 53, 26, 230
"/home/vivek/Desktop/Pixeon/src/Leaderboard.jsx", "JavaScript JSX", 12, 0, 0, -2, 10
"/home/vivek/Desktop/Pixeon/src/Login.jsx", "JavaScript JSX", 1, 0, 0, 2, 3
"/home/vivek/Desktop/Pixeon/src/ModalComponent.jsx", "JavaScript JSX", -6, 0, 1, 1, -4
"/home/vivek/Desktop/Pixeon/src/ModalComponentForTask.jsx", "JavaScript JSX", -1, 0, 0, 0, -1
"/home/vivek/Desktop/Pixeon/src/Navbar.jsx", "JavaScript JSX", 15, 0, 1, 3, 19
"/home/vivek/Desktop/Pixeon/src/Post.css", "CSS", 0, 4, 0, 0, 4
"/home/vivek/Desktop/Pixeon/src/Post.jsx", "JavaScript JSX", 9, 0, 0, 0, 9
"/home/vivek/Desktop/Pixeon/src/Profile.jsx", "JavaScript JSX", -8, 0, -1, 1, -8
"/home/vivek/Desktop/Pixeon/src/SideBar.jsx", "JavaScript JSX", 3, 0, 0, 0, 3
"/home/vivek/Desktop/Pixeon/src/Signup.jsx", "JavaScript JSX", 1, 0, -1, 0, 0
"/home/vivek/Desktop/Pixeon/src/TaskDashboard.css", "CSS", 0, -1, 0, 0, -1
"/home/vivek/Desktop/Pixeon/src/TaskDashboard.jsx", "JavaScript JSX", 55, 0, 2, 3, 60
"/home/vivek/Desktop/Pixeon/src/TaskPage.jsx", "JavaScript JSX", 172, 0, -4, 17, 185
"/home/vivek/Desktop/Pixeon/src/UserProfile.jsx", "JavaScript JSX", 160, 0, -1, 0, 159
"Total", "-", 929, 32, 65, 80, 1106
