"filename", "language", "JavaScript JSX", "CSS", "comment", "blank", "total"
"/home/vivek/Desktop/Pixeon/src/Home.jsx", "JavaScript JSX", 31, 0, 0, 0, 31
"/home/vivek/Desktop/Pixeon/src/ModalComponent.jsx", "JavaScript JSX", 8, 0, 0, 5, 13
"/home/vivek/Desktop/Pixeon/src/Navbar.css", "CSS", 0, 11, 0, 2, 13
"/home/vivek/Desktop/Pixeon/src/Navbar.jsx", "JavaScript JSX", 4, 0, 0, 0, 4
"/home/vivek/Desktop/Pixeon/src/Post.css", "CSS", 0, 3, 0, 1, 4
"/home/vivek/Desktop/Pixeon/src/Post.jsx", "JavaScript JSX", 4, 0, 0, 1, 5
"/home/vivek/Desktop/Pixeon/src/Profile.jsx", "JavaScript JSX", 19, 0, 1, -2, 18
"Total", "-", 66, 14, 1, 7, 88
